Name,Latitude,Longitude,Court size,Surface,Hoops,Nets,Overall Condition,Details,Photo 1,Photo 2,Photo 3,Photo 4
Arena Park Play Area (full court),50.739493,-3.490331,Full court,OK,2,None,OK,,photos/Arena Play Park - Full 4.jpg,photos/Arena-Play-Park-Full-1.jpg,photos/Arena Play Park - Full 2.jpg,photos/Arena Play Park - Full 3.jpg
Arena Park Play Area (half court),50.739386,-3.49079,Half court,OK,1,None,OK,,photos/Arena Play Park - Single.jpg,photos/Arena Play Park - Single 2.jpg,photos/Arena Play Park - Single 1.jpg,
Pinhoe Station Road Playing Fields (full court),50.737465,-3.472552,Full court,OK,2,None,OK,,photos/Pinhoe Station Road Playing Fields - Full.jpg,photos/Pinhoe Station Road Playing Fields - Full 1.jpg,photos/Pinhoe Station Road Playing Fields - Full 2.jpg,photos/Pinhoe Station Road Playing Fields - Full 3.jpg
King's Heath Play Area (full court),50.713717,-3.47745,Full court,Good,2,None,OK,,photos/Kings Heath Play Area - Full 1.jpg,photos/Kings Heath Play Area - Full 2.jpg,photos/Kings Heath Play Area - Full 3.jpg,photos/Kings Heath Play Area - Full 4.jpg
Summerway Park (full court),50.734116,-3.488137,Full court,Good,2,None,Good,,photos/Summerway Park - Full.jpg,photos/Summerway Park - Full 1.jpg,photos/Summerway Park - Full 2.jpg,photos/Summerway Park - Full 3.jpg
Mushroom Play Park (full court),50.714493,-3.508491,Full court,Good,2,None,Good,,photos/Mushroom Play Park - Full.jpg,photos/Mushroom Play Park - Full 1.jpg,photos/Mushroom Play Park - Full 2.jpg,photos/Mushroom Play Park - Full 3.jpg
Heavitree Pleasure Ground (full court),50.722234,-3.500923,Full court,tbc,2,Chains,OK,Hoops installed too high,,,,
Strawberry Fields MUGA (full court),50.73379,-3.451607,Full court,Good,2,None,Good,"No nets - ""static ring instead of net""",photos/Strawberry Fields - Full.jpg,photos/Strawberry Fields - Full 1.jpg,photos/Strawberry Fields - Full 2.jpg,photos/Strawberry Fields - Full 3.jpg
Clyst St.Mary Village Hall (full court),50.710147,-3.450763,Full court,Good,2,2,Good,,photos/Clyst St Mary - Full.jpg,photos/Clyst St Mary - Full 2.jpg,photos/Clyst St Mary - Full 3.jpg,photos/Clyst St Mary - Full 4.jpg
Lakeside Avenue (full court),50.69595084,-3.488860955,Full court,OK,2,None,OK,,photos/Lakeside Avenue - Full.jpg,photos/Lakeside Avenue - Full 1.jpg,photos/Lakeside Avenue - Full 2.jpg,photos/Lakeside Avenue - Full 3.jpg
Lakeside Avenue (half court),50.695548,-3.488012,Half court,OK,1,1,OK,,photos/Lakeside Avenue - Single.jpg,photos/Lakeside Avenue - Single 1.jpg,photos/Lakeside Avenue - Single 2.jpg,
Wonford Playing Fields (half court),50.711424,-3.498444,Half court,OK,1,None,Poor,,photos/Ludwell Valley Park - Single.jpg,photos/Ludwell Valley Park - Single 1.jpg,photos/Ludwell Valley Park - Single 2.jpg,
Topsham Recreational Ground (half court),50.684865,-3.469736,Half court,OK,1,1,OK,,photos/Topsham Recreational Gound - Single.jpg,photos/Topsham Recreational Gound - Single 1.jpg,photos/Topsham Recreational Gound - Single 2.jpg,
Hamlin Lane Playing Fields (half court),50.727651,-3.495722,Half court,OK,1,1,OK,,photos/Hamlin Lane Playing Fields - Single.jpg,photos/Hamlin Lane Playing Fields - Single 1.jpg,photos/Hamlin Lane Playing Fields - Single 2.jpg,
Mulberry Close Play Area (half court),50.726809,-3.489385,Half court,Poor,1,None,Poor,Court on steep slope,photos/Mullberry Close Play Area - Single 1.jpg,photos/Mullberry Close Play Area - Single.jpg,photos/Mullberry Close Play Area - Single 2.jpg,photos/Mullberry Close Play Area - Single 3.jpg
Flowerpot Playing Fields (half court),50.722251,-3.541655,Half court,OK,1,1,OK,,photos/Flowerpots - Single 1.jpg,photos/Flowerpots - Single 2.jpg,photos/Flowerpots - Single 3.jpg,
Cowick Barton Playing Fields (half court),50.710819,-3.542988,Half court,Poor,1,1,OK,,photos/Cowick Barton Playing Fields - Single 1.jpg,photos/Cowick Barton Playing Fields - Single 2.jpg,photos/Cowick Barton Playing Fields - Single 3.jpg,
Horseguards Play Area (half court),50.732405,-3.530055,Half court,OK,1,1,OK,,photos/Horseguards Play Area Single Hoop 1.JPG,photos/Horseguards Play Area Single Hoop 2.JPG,photos/Horseguards Play Area Single Hoop 3.JPG,
Belmont Park (half court),50.728296,-3.517351,Half court,Poor,1,Chain,OK,,photos/Belmont Park Single Hoop 1.JPG,photos/Belmont Park Single Hoop 2.JPG,photos/Belmont Park Single Hoop 3.JPG,
Exwick Kinnerton Way MUGA (full court),50.731528,-3.557089,Full court,Good,2,None,OK,Court on slight slope,photos/Kinnerton Way - Full 1.jpg,photos/Kinnerton Way - Full 2.jpg,photos/Kinnerton Way - Full 3.jpg,photos/Kinnerton Way - Full 4.jpg
Exwick Cemetery Field Play Area (half court),50.725193,-3.555573,Half court,Poor,1,None,Poor,"Hoop installed too low, pot holes",photos/Exwick Cemetery - Single 1.jpg,photos/Exwick Cemetery - Single 2.jpg,photos/Exwick Cemetery - Single 3.jpg,photos/Exwick Cemetery - Single 4.jpg
Exminster Deepway Park (full court),50.677443,-3.498187,Full court,Good,2,None,OK,"No nets - ""static ring instead of net""",photos/Exminster - Full 1.jpg,photos/Exminster - Full 2.jpg,photos/Exminster - Full 3.jpg,photos/Exminster - Full 4.jpg
Merrivale Road Play Area (full court),50.717451,-3.550358,Full court,OK,2,None,OK,,photos/Merrivale - Full 1.jpg,photos/Merrivale - Full 2.jpg,photos/Merrivale - Full 3.jpg,photos/Merrivale - Full 4.jpg
