name,location,lat,lng,type,surface,hoops,nets,condition,description,parking,lights,water,toilets
Arena Park Play Area,,50.739493,-3.490331,Outdoor,OK,2,None,OK,,Unknown,Unknown,Unknown,Unknown
Arena Park Play Area (half court),,50.739386,-3.49079,Outdoor,OK,1,None,OK,,Unknown,Unknown,Unknown,Unknown
Pinhoe Station Road Playing Fields,,50.737465,-3.472552,Outdoor,OK,2,None,OK,,Unknown,Unknown,Unknown,Unknown
King's Heath Play Area,,50.713717,-3.47745,Outdoor,Good,2,None,OK,,Unknown,Unknown,Unknown,Unknown
Summerway Park,,50.734116,-3.488137,Outdoor,Good,2,None,Good,,Unknown,Unknown,Unknown,Unknown
Mushroom Play Park,,50.714493,-3.508491,Outdoor,Good,2,None,Good,,Unknown,Unknown,Unknown,Unknown
Heavitree Pleasure Ground,,50.722234,-3.500923,Outdoor,TBC,2,Chains,OK,Hoops too high,Unknown,Unknown,Unknown,Unknown
Strawberry Fields MUGA,,50.73379,-3.451607,Outdoor,Good,2,None,Good,No nets — static ball-return system.,Unknown,Unknown,Unknown,Unknown
Clyst St Mary Village Hall,,50.710147,-3.450763,Outdoor,Good,2,2,Good,,Unknown,Unknown,Unknown,Unknown
Lakeside Avenue,,50.69595084,-3.488860955,Outdoor,OK,2,None,OK,,Unknown,Unknown,Unknown,Unknown
Lakeside Avenue (half court),,50.695548,-3.488012,Outdoor,OK,1,1,OK,,Unknown,Unknown,Unknown,Unknown
Wonford Playing Fields (half court),,50.711424,-3.498444,Outdoor,OK,1,None,Poor,,Unknown,Unknown,Unknown,Unknown
Topsham Recreational Ground (half court),,50.684865,-3.469736,Outdoor,OK,1,1,OK,,Unknown,Unknown,Unknown,Unknown
Hamlin Lane Playing Fields (half court),,50.727651,-3.495722,Outdoor,OK,1,1,OK,,Unknown,Unknown,Unknown,Unknown
Mulberry Close Play Area (half court),,50.726809,-3.489385,Outdoor,Poor,1,None,Poor,Court on a steep slope.,Unknown,Unknown,Unknown,Unknown
Flowerpot Playing Fields (half court),,50.722251,-3.541655,Outdoor,OK,1,1,OK,,Unknown,Unknown,Unknown,Unknown
Cowick Barton Playing Fields (half court),,50.710819,-3.542988,Outdoor,Poor,1,1,OK,,Unknown,Unknown,Unknown,Unknown
Horseguards Play Area (half court),,50.732405,-3.530055,Outdoor,OK,1,1,OK,,Unknown,Unknown,Unknown,Unknown
Belmont Park (half court),,50.728296,-3.517351,Outdoor,Poor,1,Chain,OK,,Unknown,Unknown,Unknown,Unknown
Exwick Kinnerton Way MUGA,,50.731528,-3.557089,Outdoor,Good,2,None,OK,Court on a slight slope.,Unknown,Unknown,Unknown,Unknown
Exwick Cemetery Field Play Area (half court),,50.725193,-3.555573,Outdoor,Poor,1,None,Poor,Hoop too low; potholes throughout.,Unknown,Unknown,Unknown,Unknown
Exminster Deepway Park,,50.677443,-3.498187,Outdoor,Good,2,None,OK,No nets — static ball-return system.,Unknown,Unknown,Unknown,Unknown
Merrivale Road Play Area,,50.717451,-3.550358,Outdoor,OK,2,None,OK,,Unknown,Unknown,Unknown,Unknown
